variant,case,n_seeds,success_seed_count,success_seed_rate,first_success_episode_mean,first_success_episode_median,first_success_total_steps_mean,resuccess_gap_mean,post50_success_rate_mean,post100_success_rate_mean,final_success_rate,final_success_rate_ma,last100_success_rate_mean,final_avg_episode_length,last100_avg_episode_length_mean
holes_respawn_to_start,det_sparse,100,100,1.0,113.51,78.0,22623.2,90.68,0.0102,0.0109,1.0,0.505,1.0,15.76,15.620500000000002
holes_respawn_to_start,det_dense,100,100,1.0,101.94,82.0,20304.52,86.7,0.009000000000000001,0.0113,1.0,0.505,1.0,15.83,15.6101
holes_respawn_to_start,stoch_sparse,100,100,1.0,100.85,63.0,20082.46,104.7,0.0094,0.009600000000000001,0.54,0.3029,0.6,151.32,143.764
holes_respawn_to_start,stoch_dense,100,100,1.0,105.66,84.0,21050.16,97.33,0.009600000000000001,0.0105,0.58,0.27674999999999994,0.5486000000000001,140.89,149.40689999999998
holeless_control,det_sparse,100,100,1.0,2.85,2.0,486.98,2.68,0.39520000000000005,0.4085000000000001,1.0,0.505,1.0,14.76,14.724699999999999
holeless_control,det_dense,100,100,1.0,2.83,2.0,484.93,2.77,0.39840000000000003,0.41080000000000005,1.0,0.505,1.0,14.7,14.707399999999998
holeless_control,stoch_sparse,100,100,1.0,2.3,2.0,378.09,2.67,0.4034,0.40329999999999994,1.0,0.50495,0.9999000000000001,47.55,46.813599999999994
holeless_control,stoch_dense,100,100,1.0,2.25,2.0,368.11,2.67,0.39880000000000004,0.40069999999999995,1.0,0.505,1.0,48.96,47.108999999999995
original_holes_terminal,det_sparse,100,100,1.0,544.62,383.5,17507.74,320.38,0.0022,0.0029000000000000002,0.93,0.45830000000000004,0.9078000000000002,14.11,14.2451
original_holes_terminal,det_dense,100,100,1.0,365.68,312.0,12339.01,360.95,0.0024,0.0019,0.87,0.46415000000000006,0.919,13.93,14.291000000000002
original_holes_terminal,stoch_sparse,100,100,1.0,506.41,368.5,16241.31,480.23,0.0006,0.001,0.65,0.2936499999999999,0.5821999999999999,89.48,86.05140000000002
original_holes_terminal,stoch_dense,100,100,1.0,436.0,326.0,14283.89,506.12,0.0006,0.0013999999999999998,0.65,0.30389999999999995,0.6012000000000001,95.25,92.19619999999999
